Id	Description	Name	Icon	ListIcon	Desc	SlotType	ClassId
84	觜火猴·六	觜火猴	StarIcon_05	StarIcon_05	中国神话中的二十八宿之一，可装备在符灵上，增强属性	6	14
85	参水猿·一	参水猿	StarIcon_18	StarIcon_18	中国神话中的二十八宿之一，可装备在符灵上，增强属性	1	15
86	参水猿·二	参水猿	StarIcon_18	StarIcon_18	中国神话中的二十八宿之一，可装备在符灵上，增强属性	2	15
87	参水猿·三	参水猿	StarIcon_18	StarIcon_18	中国神话中的二十八宿之一，可装备在符灵上，增强属性	3	15
88	参水猿·四	参水猿	StarIcon_18	StarIcon_18	中国神话中的二十八宿之一，可装备在符灵上，增强属性	4	15
89	参水猿·五	参水猿	StarIcon_18	StarIcon_18	中国神话中的二十八宿之一，可装备在符灵上，增强属性	5	15
90	参水猿·六	参水猿	StarIcon_18	StarIcon_18	中国神话中的二十八宿之一，可装备在符灵上，增强属性	6	15
91	斗木獬·一	斗木獬	StarIcon_20	StarIcon_20	中国神话中的二十八宿之一，可装备在符灵上，增强属性	1	16
92	斗木獬·二	斗木獬	StarIcon_20	StarIcon_20	中国神话中的二十八宿之一，可装备在符灵上，增强属性	2	16
93	斗木獬·三	斗木獬	StarIcon_20	StarIcon_20	中国神话中的二十八宿之一，可装备在符灵上，增强属性	3	16
94	斗木獬·四	斗木獬	StarIcon_20	StarIcon_20	中国神话中的二十八宿之一，可装备在符灵上，增强属性	4	16
95	斗木獬·五	斗木獬	StarIcon_20	StarIcon_20	中国神话中的二十八宿之一，可装备在符灵上，增强属性	5	16
96	斗木獬·六	斗木獬	StarIcon_20	StarIcon_20	中国神话中的二十八宿之一，可装备在符灵上，增强属性	6	16
97	牛金牛·一	牛金牛	StarIcon_10	StarIcon_10	中国神话中的二十八宿之一，可装备在符灵上，增强属性	1	17
98	牛金牛·二	牛金牛	StarIcon_10	StarIcon_10	中国神话中的二十八宿之一，可装备在符灵上，增强属性	2	17
99	牛金牛·三	牛金牛	StarIcon_10	StarIcon_10	中国神话中的二十八宿之一，可装备在符灵上，增强属性	3	17
100	牛金牛·四	牛金牛	StarIcon_10	StarIcon_10	中国神话中的二十八宿之一，可装备在符灵上，增强属性	4	17
101	牛金牛·五	牛金牛	StarIcon_10	StarIcon_10	中国神话中的二十八宿之一，可装备在符灵上，增强属性	5	17
102	牛金牛·六	牛金牛	StarIcon_10	StarIcon_10	中国神话中的二十八宿之一，可装备在符灵上，增强属性	6	17
103	女土蝠·一	女土蝠	StarIcon_08	StarIcon_08	中国神话中的二十八宿之一，可装备在符灵上，增强属性	1	18
104	女土蝠·二	女土蝠	StarIcon_08	StarIcon_08	中国神话中的二十八宿之一，可装备在符灵上，增强属性	2	18
105	女土蝠·三	女土蝠	StarIcon_08	StarIcon_08	中国神话中的二十八宿之一，可装备在符灵上，增强属性	3	18
106	女土蝠·四	女土蝠	StarIcon_08	StarIcon_08	中国神话中的二十八宿之一，可装备在符灵上，增强属性	4	18
107	女土蝠·五	女土蝠	StarIcon_08	StarIcon_08	中国神话中的二十八宿之一，可装备在符灵上，增强属性	5	18
108	女土蝠·六	女土蝠	StarIcon_08	StarIcon_08	中国神话中的二十八宿之一，可装备在符灵上，增强属性	6	18
109	室火猪·一	室火猪	StarIcon_06	StarIcon_06	中国神话中的二十八宿之一，可装备在符灵上，增强属性	1	19
110	室火猪·二	室火猪	StarIcon_06	StarIcon_06	中国神话中的二十八宿之一，可装备在符灵上，增强属性	2	19
111	室火猪·三	室火猪	StarIcon_06	StarIcon_06	中国神话中的二十八宿之一，可装备在符灵上，增强属性	3	19
112	室火猪·四	室火猪	StarIcon_06	StarIcon_06	中国神话中的二十八宿之一，可装备在符灵上，增强属性	4	19
113	室火猪·五	室火猪	StarIcon_06	StarIcon_06	中国神话中的二十八宿之一，可装备在符灵上，增强属性	5	19
114	室火猪·六	室火猪	StarIcon_06	StarIcon_06	中国神话中的二十八宿之一，可装备在符灵上，增强属性	6	19
115	壁水貐·一	壁水貐	StarIcon_19	StarIcon_19	中国神话中的二十八宿之一，可装备在符灵上，增强属性	1	20
116	壁水貐·二	壁水貐	StarIcon_19	StarIcon_19	中国神话中的二十八宿之一，可装备在符灵上，增强属性	2	20
117	壁水貐·三	壁水貐	StarIcon_19	StarIcon_19	中国神话中的二十八宿之一，可装备在符灵上，增强属性	3	20
118	壁水貐·四	壁水貐	StarIcon_19	StarIcon_19	中国神话中的二十八宿之一，可装备在符灵上，增强属性	4	20
119	壁水貐·五	壁水貐	StarIcon_19	StarIcon_19	中国神话中的二十八宿之一，可装备在符灵上，增强属性	5	20
120	壁水貐·六	壁水貐	StarIcon_19	StarIcon_19	中国神话中的二十八宿之一，可装备在符灵上，增强属性	6	20
