Id	Desc	WorldName	WorldType	SelfIp	PortForClient	ServerThreadCount	DBThreadCount	HttpThreadCount	DBIP	DBPort	HttpIP	HttpPort	HttpServerFakeTokenCheckPort	HttpServerMidasPayPort	HttpServerIDIPPort	MySQLIP	MySQLPort	DataBaseName	DataBaseUser	DataBasePsw	MaxOnlinePlayingPlayer	MaxOnlineQueuingPlayer	TlogDIP	TlogDPort	TlogDBUser	TlogDBPsw	MsdkChannel	WorldIP	WorldPort	MidasFormalUrl	MidasTestUrl	SocialSpaceUrl	AreaId	PlatId	Partition
8	程序自启	8世界	0	127.0.0.1	3341	72	21	4	127.0.0.1	3343	127.0.0.1	3344	3345	3346	3352	10.65.71.43	3306	carddb_8	root	xjlzxdbmm	220000	5000	10.68.14.10	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	8
9	程序自启	9世界	0	127.0.0.1	3341	72	21	4	127.0.0.1	3343	127.0.0.1	3344	3345	3346	3352	10.65.71.43	3306	carddb_9	root	xjlzxdbmm	220000	5000	10.68.14.10	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	9
10	程序自启	10世界	0	127.0.0.1	3341	72	21	4	127.0.0.1	3343	127.0.0.1	3344	3345	3346	3352	10.65.71.43	3306	carddb_10	root	xjlzxdbmm	220000	5000	10.68.14.10	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	10
11	程序自启	11世界	0	127.0.0.1	3341	72	21	4	127.0.0.1	3343	127.0.0.1	3344	3345	3346	3352	10.65.71.43	3306	carddb_11	root	xjlzxdbmm	220000	5000	10.68.14.10	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	11
12	程序自启	12世界	0	127.0.0.1	3341	72	21	4	127.0.0.1	3343	127.0.0.1	3344	3345	3346	3352	10.65.71.43	3306	carddb_12	root	xjlzxdbmm	220000	5000	10.68.14.10	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	12
13	程序自启	13世界	0	127.0.0.1	3341	72	21	4	127.0.0.1	3343	127.0.0.1	3344	3345	3346	3352	10.65.71.43	3306	carddb_13	root	xjlzxdbmm	220000	5000	10.68.14.10	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	13
14	程序自启	14世界	0	127.0.0.1	3341	72	21	4	127.0.0.1	3343	127.0.0.1	3344	3345	3346	3352	10.65.71.43	3306	carddb_14	root	xjlzxdbmm	220000	5000	10.68.14.10	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	14
15	程序自启	15世界	0	127.0.0.1	3341	72	21	4	127.0.0.1	3343	127.0.0.1	3344	3345	3346	3352	10.65.71.43	3306	carddb_15	root	xjlzxdbmm	220000	5000	10.68.14.10	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	15
16	程序自启	16世界	0	127.0.0.1	3341	72	21	4	127.0.0.1	3343	127.0.0.1	3344	3345	3346	3352	10.65.71.43	3306	carddb_16	root	xjlzxdbmm	220000	5000	10.68.14.10	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	16
17	程序自启	17世界	0	127.0.0.1	3341	72	21	4	127.0.0.1	3343	127.0.0.1	3344	3345	3346	3352	10.65.71.43	3306	carddb_17	root	xjlzxdbmm	220000	5000	10.68.14.10	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	17
18	程序自启	18世界	0	127.0.0.1	3341	72	21	4	127.0.0.1	3343	127.0.0.1	3344	3345	3346	3352	10.65.71.43	3306	carddb_18	root	xjlzxdbmm	220000	5000	10.68.14.10	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	18
19	程序自启	19世界	0	127.0.0.1	3341	72	21	4	127.0.0.1	3343	127.0.0.1	3344	3345	3346	3352	10.65.71.43	3306	carddb_19	root	xjlzxdbmm	220000	5000	10.68.14.10	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	19
20	程序自启	20世界	0	127.0.0.1	3341	72	21	4	127.0.0.1	3343	127.0.0.1	3344	3345	3346	3352	10.65.71.43	3306	carddb_20	root	xjlzxdbmm	220000	5000	10.68.14.10	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	20
21	程序自启	21世界	0	127.0.0.1	3341	72	21	4	127.0.0.1	3343	127.0.0.1	3344	3345	3346	3352	10.65.71.43	3306	carddb_21	root	xjlzxdbmm	220000	5000	10.68.14.10	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	21
22	程序自启	22世界	0	127.0.0.1	3341	72	21	4	127.0.0.1	3343	127.0.0.1	3344	3345	3346	3352	10.65.71.43	3306	carddb_22	root	xjlzxdbmm	220000	5000	10.68.14.10	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	22
23	程序自启	23世界	0	127.0.0.1	3341	72	21	4	127.0.0.1	3343	127.0.0.1	3344	3345	3346	3352	10.65.71.43	3306	carddb_23	root	xjlzxdbmm	220000	5000	10.68.14.10	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	23
24	程序自启	24世界	0	127.0.0.1	3341	72	21	4	127.0.0.1	3343	127.0.0.1	3344	3345	3346	3352	10.65.71.43	3306	carddb_24	root	xjlzxdbmm	220000	5000	10.68.14.10	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	24
25	程序自启	25世界	0	127.0.0.1	3341	72	21	4	127.0.0.1	3343	127.0.0.1	3344	3345	3346	3352	10.65.71.43	3306	carddb_25	root	xjlzxdbmm	220000	5000	10.68.14.10	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	25
26	程序自启	26世界	0	127.0.0.1	3341	72	21	4	127.0.0.1	3343	127.0.0.1	3344	3345	3346	3352	10.65.71.43	3306	carddb_26	root	xjlzxdbmm	220000	5000	10.68.14.10	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	26
27	程序自启	27世界	0	127.0.0.1	3341	72	21	4	127.0.0.1	3343	127.0.0.1	3344	3345	3346	3352	10.65.71.43	3306	carddb_27	root	xjlzxdbmm	220000	5000	10.68.14.10	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	27
28	程序自启	28世界	0	127.0.0.1	3341	72	21	4	127.0.0.1	3343	127.0.0.1	3344	3345	3346	3352	10.65.71.43	3306	carddb_28	root	xjlzxdbmm	220000	5000	10.68.14.10	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	28
29	程序自启	29世界	0	127.0.0.1	3341	72	21	4	127.0.0.1	3343	127.0.0.1	3344	3345	3346	3352	10.65.71.43	3306	carddb_29	root	xjlzxdbmm	220000	5000	10.68.14.10	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	29
30	程序自启	30世界	0	127.0.0.1	3341	72	21	4	127.0.0.1	3343	127.0.0.1	3344	3345	3346	3352	10.65.71.43	3306	carddb_30	root	xjlzxdbmm	220000	5000	10.68.14.10	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	30
31	程序自启	31世界	0	127.0.0.1	3341	72	21	4	127.0.0.1	3343	127.0.0.1	3344	3345	3346	3352	10.65.71.43	3306	carddb_31	root	xjlzxdbmm	220000	5000	10.68.14.10	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	31
32	程序自启	32世界	0	127.0.0.1	3341	72	21	4	127.0.0.1	3343	127.0.0.1	3344	3345	3346	3352	10.65.71.43	3306	carddb_32	root	xjlzxdbmm	220000	5000	10.68.14.10	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	32
33	程序自启	33世界	0	127.0.0.1	3341	72	21	4	127.0.0.1	3343	127.0.0.1	3344	3345	3346	3352	10.65.71.43	3306	carddb_33	root	xjlzxdbmm	220000	5000	10.68.14.10	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	33
34	程序自启	34世界	0	127.0.0.1	3341	72	21	4	127.0.0.1	3343	127.0.0.1	3344	3345	3346	3352	10.65.71.43	3306	carddb_34	root	xjlzxdbmm	220000	5000	10.68.14.10	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	34
35	程序自启	35世界	0	127.0.0.1	3341	72	21	4	127.0.0.1	3343	127.0.0.1	3344	3345	3346	3352	10.65.71.43	3306	carddb_35	root	xjlzxdbmm	220000	5000	10.68.14.10	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	35
36	程序自启	36世界	0	127.0.0.1	3341	72	21	4	127.0.0.1	3343	127.0.0.1	3344	3345	3346	3352	10.65.71.43	3306	carddb_36	root	xjlzxdbmm	220000	5000	10.68.14.10	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	36
37	程序自启	37世界	0	127.0.0.1	3341	72	21	4	127.0.0.1	3343	127.0.0.1	3344	3345	3346	3352	10.65.71.43	3306	carddb_37	root	xjlzxdbmm	220000	5000	10.68.14.10	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	37
38	程序自启	38世界	0	127.0.0.1	3341	72	21	4	127.0.0.1	3343	127.0.0.1	3344	3345	3346	3352	10.65.71.43	3306	carddb_38	root	xjlzxdbmm	220000	5000	10.68.14.10	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	38
39	程序自启	39世界	0	127.0.0.1	3341	72	21	4	127.0.0.1	3343	127.0.0.1	3344	3345	3346	3352	10.65.71.43	3306	carddb_39	root	xjlzxdbmm	220000	5000	10.68.14.10	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	39
40	程序自启	40世界	0	127.0.0.1	3341	72	21	4	127.0.0.1	3343	127.0.0.1	3344	3345	3346	3352	10.65.71.43	3306	carddb_40	root	xjlzxdbmm	220000	5000	10.68.14.10	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	40
41	程序自启	41世界	0	127.0.0.1	3341	72	21	4	127.0.0.1	3343	127.0.0.1	3344	3345	3346	3352	10.65.71.43	3306	carddb_41	root	xjlzxdbmm	220000	5000	10.68.14.10	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	41
42	程序自启	42世界	0	127.0.0.1	3341	72	21	4	127.0.0.1	3343	127.0.0.1	3344	3345	3346	3352	10.65.71.43	3306	carddb_42	root	xjlzxdbmm	220000	5000	10.68.14.10	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	42
43	程序自启	43世界	0	127.0.0.1	3341	72	21	4	127.0.0.1	3343	127.0.0.1	3344	3345	3346	3352	10.65.71.43	3306	carddb_43	root	xjlzxdbmm	220000	5000	10.68.14.10	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	43
44	程序自启	44世界	0	127.0.0.1	3341	72	21	4	127.0.0.1	3343	127.0.0.1	3344	3345	3346	3352	10.65.71.43	3306	carddb_44	root	xjlzxdbmm	220000	5000	10.68.14.10	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	44
45	程序自启	45世界	0	127.0.0.1	3341	72	21	4	127.0.0.1	3343	127.0.0.1	3344	3345	3346	3352	10.65.71.43	3306	carddb_45	root	xjlzxdbmm	220000	5000	10.68.14.10	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	45
46	程序自启	46世界	0	127.0.0.1	3341	72	21	4	127.0.0.1	3343	127.0.0.1	3344	3345	3346	3352	10.65.71.43	3306	carddb_46	root	xjlzxdbmm	220000	5000	10.68.14.10	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	46
47	程序自启	47世界	0	127.0.0.1	3341	72	21	4	127.0.0.1	3343	127.0.0.1	3344	3345	3346	3352	10.65.71.43	3306	carddb_47	root	xjlzxdbmm	220000	5000	10.68.14.10	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	47
48	程序自启	48世界	0	127.0.0.1	3341	72	21	4	127.0.0.1	3343	127.0.0.1	3344	3345	3346	3352	10.65.71.43	3306	carddb_48	root	xjlzxdbmm	220000	5000	10.68.14.10	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	48
49	程序自启	49世界	0	127.0.0.1	3341	72	21	4	127.0.0.1	3343	127.0.0.1	3344	3345	3346	3352	10.65.71.43	3306	carddb_49	root	xjlzxdbmm	220000	5000	10.68.14.10	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	49
50	程序自启	50世界	0	127.0.0.1	3341	72	21	4	127.0.0.1	3343	127.0.0.1	3344	3345	3346	3352	10.65.71.43	3306	carddb_50	root	xjlzxdbmm	220000	5000	10.68.14.10	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	50
51	程序自启	51世界	0	127.0.0.1	3341	72	21	4	127.0.0.1	3343	127.0.0.1	3344	3345	3346	3352	10.65.71.43	3306	carddb_51	root	xjlzxdbmm	220000	5000	10.68.14.10	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	51
52	程序自启	52世界	0	127.0.0.1	3341	72	21	4	127.0.0.1	3343	127.0.0.1	3344	3345	3346	3352	10.65.71.43	3306	carddb_52	root	xjlzxdbmm	220000	5000	10.68.14.10	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	52
53	程序自启	53世界	0	127.0.0.1	3341	72	21	4	127.0.0.1	3343	127.0.0.1	3344	3345	3346	3352	10.65.71.43	3306	carddb_53	root	xjlzxdbmm	220000	5000	10.68.14.10	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	53
54	程序自启	54世界	0	127.0.0.1	3341	72	21	4	127.0.0.1	3343	127.0.0.1	3344	3345	3346	3352	10.65.71.43	3306	carddb_54	root	xjlzxdbmm	220000	5000	10.68.14.10	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	54
55	程序自启	55世界	0	127.0.0.1	3341	72	21	4	127.0.0.1	3343	127.0.0.1	3344	3345	3346	3352	10.65.71.43	3306	carddb_55	root	xjlzxdbmm	220000	5000	10.68.14.10	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	55
56	程序自启	56世界	0	127.0.0.1	3341	72	21	4	127.0.0.1	3343	127.0.0.1	3344	3345	3346	3352	10.65.71.43	3306	carddb_56	root	xjlzxdbmm	220000	5000	10.68.14.10	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	56
57	程序自启	57世界	0	127.0.0.1	3341	72	21	4	127.0.0.1	3343	127.0.0.1	3344	3345	3346	3352	10.65.71.43	3306	carddb_57	root	xjlzxdbmm	220000	5000	10.68.14.10	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	57
58	程序自启	58世界	0	127.0.0.1	3341	72	21	4	127.0.0.1	3343	127.0.0.1	3344	3345	3346	3352	10.65.71.43	3306	carddb_58	root	xjlzxdbmm	220000	5000	10.68.14.10	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	58
59	程序自启	59世界	0	127.0.0.1	3341	72	21	4	127.0.0.1	3343	127.0.0.1	3344	3345	3346	3352	10.65.71.43	3306	carddb_59	root	xjlzxdbmm	220000	5000	10.68.14.10	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	59
60	程序自启	60世界	0	127.0.0.1	3341	72	21	4	127.0.0.1	3343	127.0.0.1	3344	3345	3346	3352	10.65.71.43	3306	carddb_60	root	xjlzxdbmm	220000	5000	10.68.14.10	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	60
100	外网自启	100世界	0	127.0.0.1	3341	72	21	4	127.0.0.1	3343	127.0.0.1	3344	3345	3346	3352	127.0.0.1	3306	carddb_100	root	xjlzxdbmm	220000	5000	127.0.0.1	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	1
101	外网自启	101世界	0	127.0.0.1	3441	72	21	4	127.0.0.1	3443	127.0.0.1	3444	3445	3446	3452	127.0.0.1	3306	carddb_101	root	xjlzxdbmm	220000	5000	127.0.0.1	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	2
102	外网自启	102世界	0	127.0.0.1	3541	72	21	4	127.0.0.1	3543	127.0.0.1	3544	3545	3546	3552	127.0.0.1	3306	carddb_102	root	xjlzxdbmm	220000	5000	127.0.0.1	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	3
103	外网自启	103世界(TY)	0	127.0.0.1	3641	72	21	4	127.0.0.1	3643	127.0.0.1	3644	3645	3646	3652	127.0.0.1	3306	carddb_103	root	xjlzxdbmm	220000	5000	127.0.0.1	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	4
104	外网自启	104世界	0	127.0.0.1	3741	72	21	4	127.0.0.1	3743	127.0.0.1	3744	3745	3746	3752	127.0.0.1	3306	carddb_104	root	xjlzxdbmm	220000	5000	127.0.0.1	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	5
105	外网自启	105世界	0	127.0.0.1	3841	72	21	4	127.0.0.1	3843	127.0.0.1	3844	3845	3846	3352	127.0.0.1	3306	carddb_105	root	xjlzxdbmm	220000	5000	127.0.0.1	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	6
106	外网自启	106世界	0	127.0.0.1	3941	72	21	4	127.0.0.1	3943	127.0.0.1	3944	3945	3946	3352	127.0.0.1	3306	carddb_106	root	xjlzxdbmm	220000	5000	127.0.0.1	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	7
107	外网自启	107世界	0	127.0.0.1	4041	72	21	4	127.0.0.1	4043	127.0.0.1	4044	4045	4046	4052	127.0.0.1	3306	carddb_107	root	xjlzxdbmm	220000	5000	127.0.0.1	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	8
108	外网自启	108世界	0	127.0.0.1	4141	72	21	4	127.0.0.1	4143	127.0.0.1	4144	4145	4146	4152	127.0.0.1	3306	carddb_108	root	xjlzxdbmm	220000	5000	127.0.0.1	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	9
109	外网自启	109世界	0	127.0.0.1	4241	72	21	4	127.0.0.1	4243	127.0.0.1	4244	4245	4246	4252	127.0.0.1	3306	carddb_109	root	xjlzxdbmm	220000	5000	127.0.0.1	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	10
200	外网自启	200世界	0	127.0.0.1	3341	72	21	4	127.0.0.1	3343	127.0.0.1	3344	3345	3346	3352	127.0.0.1	3306	carddb_200	root	xjlzxdbmm	220000	5000	127.0.0.1	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	1
201	外网自启	201世界	0	127.0.0.1	3441	72	21	4	127.0.0.1	3443	127.0.0.1	3444	3445	3446	3452	127.0.0.1	3306	carddb_201	root	xjlzxdbmm	220000	5000	127.0.0.1	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	2
202	外网自启	202世界	0	127.0.0.1	3541	72	21	4	127.0.0.1	3543	127.0.0.1	3544	3545	3546	3552	127.0.0.1	3306	carddb_202	root	xjlzxdbmm	220000	5000	127.0.0.1	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	3
203	外网自启	203世界	0	127.0.0.1	3641	72	21	4	127.0.0.1	3643	127.0.0.1	3644	3645	3646	3652	127.0.0.1	3306	carddb_203	root	xjlzxdbmm	220000	5000	127.0.0.1	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	4
204	外网自启	204世界	0	127.0.0.1	3741	72	21	4	127.0.0.1	3743	127.0.0.1	3744	3745	3746	3752	127.0.0.1	3306	carddb_204	root	xjlzxdbmm	220000	5000	127.0.0.1	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	5
