Id	Description	MaxHPAddMin	MaxHPAddMax	MaxHPPercentMin	MaxHPPercentMax	MaxHPFinalMin	MaxHPFinalMax	AttackAddMin	AttackAddMax	AttackPercentMin	AttackPercentMax	AttackFinalMin	AttackFinalMax	DefenceAddMin	DefenceAddMax	DefencePercentMin	DefencePercentMax	DefenceFinalMin	DefenceFinalMax	SpeedAddMin	SpeedAddMax	SpeedPercentMin	SpeedPercentMax	SpeedFinalMin	SpeedFinalMax	CritChanceAddMin	CritChanceAddMax	CritEffectAddMin	CritEffectAddMax	ImpactChanceAddMin	ImpactChanceAddMax	ImpactResistAddMin	ImpactResistAddMax
213	2星主属性强化+12增量	30	30	100	100	0	0	2	2	100	100	0	0	2	2	100	100	0	0	1	1	0	0	0	0	100	100	200	200	100	100	100	100
214	2星主属性强化+13增量	30	30	100	100	0	0	2	2	100	100	0	0	1	1	100	100	0	0	1	1	0	0	0	0	100	100	200	200	100	100	100	100
215	2星主属性强化+14增量	30	30	100	100	0	0	2	2	100	100	0	0	2	2	100	100	0	0	1	1	0	0	0	0	100	100	200	200	100	100	100	100
216	2星主属性强化+15增量	90	90	320	320	0	0	6	6	320	320	0	0	4	4	320	320	0	0	3	3	0	0	0	0	320	320	640	640	320	320	320	320
301	3星主属性出生	105	105	400	400	0	0	7	7	400	400	0	0	6	6	400	400	0	0	3	3	0	0	0	0	300	300	400	400	400	400	400	400
302	3星主属性强化+1增量	45	45	200	200	0	0	3	3	200	200	0	0	2	2	200	200	0	0	1	1	0	0	0	0	200	200	225	225	200	200	200	200
303	3星主属性强化+2增量	45	45	200	200	0	0	3	3	200	200	0	0	2	2	200	200	0	0	2	2	0	0	0	0	200	200	225	225	200	200	200	200
304	3星主属性强化+3增量	45	45	200	200	0	0	3	3	200	200	0	0	2	2	200	200	0	0	1	1	0	0	0	0	200	200	225	225	200	200	200	200
305	3星主属性强化+4增量	45	45	200	200	0	0	3	3	200	200	0	0	3	3	200	200	0	0	1	1	0	0	0	0	200	200	225	225	200	200	200	200
306	3星主属性强化+5增量	45	45	200	200	0	0	3	3	200	200	0	0	2	2	200	200	0	0	2	2	0	0	0	0	200	200	225	225	200	200	200	200
307	3星主属性强化+6增量	45	45	200	200	0	0	3	3	200	200	0	0	2	2	200	200	0	0	1	1	0	0	0	0	200	200	225	225	200	200	200	200
308	3星主属性强化+7增量	45	45	200	200	0	0	3	3	200	200	0	0	2	2	200	200	0	0	1	1	0	0	0	0	200	200	225	225	200	200	200	200
309	3星主属性强化+8增量	45	45	200	200	0	0	3	3	200	200	0	0	3	3	200	200	0	0	2	2	0	0	0	0	200	200	225	225	200	200	200	200
310	3星主属性强化+9增量	45	45	200	200	0	0	3	3	200	200	0	0	2	2	200	200	0	0	1	1	0	0	0	0	200	200	225	225	200	200	200	200
311	3星主属性强化+10增量	45	45	200	200	0	0	3	3	200	200	0	0	2	2	200	200	0	0	1	1	0	0	0	0	200	200	225	225	200	200	200	200
312	3星主属性强化+11增量	45	45	200	200	0	0	3	3	200	200	0	0	2	2	200	200	0	0	2	2	0	0	0	0	200	200	225	225	200	200	200	200
313	3星主属性强化+12增量	45	45	200	200	0	0	3	3	200	200	0	0	3	3	200	200	0	0	1	1	0	0	0	0	200	200	225	225	200	200	200	200
314	3星主属性强化+13增量	45	45	200	200	0	0	3	3	200	200	0	0	2	2	200	200	0	0	1	1	0	0	0	0	200	200	225	225	200	200	200	200
315	3星主属性强化+14增量	45	45	200	200	0	0	3	3	200	200	0	0	2	2	200	200	0	0	2	2	0	0	0	0	200	200	225	225	200	200	200	200
316	3星主属性强化+15增量	135	135	640	640	0	0	9	9	640	640	0	0	7	7	640	640	0	0	4	4	0	0	0	0	640	640	720	720	640	640	640	640
401	4星主属性出生	135	135	500	500	0	0	9	9	500	500	0	0	7	7	500	500	0	0	4	4	0	0	0	0	400	400	600	600	500	500	500	500
402	4星主属性强化+1增量	60	60	215	215	0	0	4	4	215	215	0	0	3	3	215	215	0	0	2	2	0	0	0	0	215	215	300	300	215	215	215	215
403	4星主属性强化+2增量	45	45	215	215	0	0	3	3	215	215	0	0	2	2	215	215	0	0	1	1	0	0	0	0	215	215	300	300	215	215	215	215
404	4星主属性强化+3增量	60	60	215	215	0	0	4	4	215	215	0	0	3	3	215	215	0	0	2	2	0	0	0	0	215	215	300	300	215	215	215	215
405	4星主属性强化+4增量	45	45	215	215	0	0	3	3	215	215	0	0	3	3	215	215	0	0	1	1	0	0	0	0	215	215	300	300	215	215	215	215
406	4星主属性强化+5增量	60	60	215	215	0	0	4	4	215	215	0	0	3	3	215	215	0	0	2	2	0	0	0	0	215	215	300	300	215	215	215	215
407	4星主属性强化+6增量	45	45	215	215	0	0	3	3	215	215	0	0	2	2	215	215	0	0	1	1	0	0	0	0	215	215	300	300	215	215	215	215
408	4星主属性强化+7增量	60	60	215	215	0	0	4	4	215	215	0	0	3	3	215	215	0	0	2	2	0	0	0	0	215	215	300	300	215	215	215	215
409	4星主属性强化+8增量	45	45	215	215	0	0	3	3	215	215	0	0	2	2	215	215	0	0	1	1	0	0	0	0	215	215	300	300	215	215	215	215
410	4星主属性强化+9增量	60	60	215	215	0	0	4	4	215	215	0	0	3	3	215	215	0	0	2	2	0	0	0	0	215	215	300	300	215	215	215	215
411	4星主属性强化+10增量	45	45	215	215	0	0	3	3	215	215	0	0	2	2	215	215	0	0	1	1	0	0	0	0	215	215	300	300	215	215	215	215
412	4星主属性强化+11增量	60	60	215	215	0	0	4	4	215	215	0	0	3	3	215	215	0	0	2	2	0	0	0	0	215	215	300	300	215	215	215	215
413	4星主属性强化+12增量	45	45	215	215	0	0	3	3	215	215	0	0	3	3	215	215	0	0	1	1	0	0	0	0	215	215	300	300	215	215	215	215
414	4星主属性强化+13增量	60	60	215	215	0	0	4	4	215	215	0	0	3	3	215	215	0	0	2	2	0	0	0	0	215	215	300	300	215	215	215	215
415	4星主属性强化+14增量	45	45	215	215	0	0	3	3	215	215	0	0	2	2	215	215	0	0	1	1	0	0	0	0	215	215	300	300	215	215	215	215
416	4星主属性强化+15增量	165	165	688	688	0	0	11	11	688	688	0	0	8	8	688	688	0	0	5	5	0	0	0	0	688	688	960	960	688	688	688	688
501	5星主属性出生	180	180	800	800	0	0	12	12	800	800	0	0	9	9	800	800	0	0	5	5	0	0	0	0	500	500	800	800	800	800	800	800
502	5星主属性强化+1增量	75	75	245	245	0	0	5	5	245	245	0	0	4	4	245	245	0	0	2	2	0	0	0	0	245	245	333	333	245	245	245	245
503	5星主属性强化+2增量	60	60	245	245	0	0	4	4	245	245	0	0	3	3	245	245	0	0	2	2	0	0	0	0	245	245	333	333	245	245	245	245
504	5星主属性强化+3增量	75	75	245	245	0	0	5	5	245	245	0	0	4	4	245	245	0	0	2	2	0	0	0	0	245	245	333	333	245	245	245	245
505	5星主属性强化+4增量	60	60	245	245	0	0	4	4	245	245	0	0	3	3	245	245	0	0	2	2	0	0	0	0	245	245	333	333	245	245	245	245
506	5星主属性强化+5增量	75	75	245	245	0	0	5	5	245	245	0	0	4	4	245	245	0	0	2	2	0	0	0	0	245	245	333	333	245	245	245	245
507	5星主属性强化+6增量	60	60	245	245	0	0	4	4	245	245	0	0	3	3	245	245	0	0	2	2	0	0	0	0	245	245	333	333	245	245	245	245
508	5星主属性强化+7增量	75	75	245	245	0	0	5	5	245	245	0	0	3	3	245	245	0	0	2	2	0	0	0	0	245	245	333	333	245	245	245	245
509	5星主属性强化+8增量	60	60	245	245	0	0	4	4	245	245	0	0	3	3	245	245	0	0	2	2	0	0	0	0	245	245	333	333	245	245	245	245
510	5星主属性强化+9增量	75	75	245	245	0	0	5	5	245	245	0	0	4	4	245	245	0	0	2	2	0	0	0	0	245	245	333	333	245	245	245	245
511	5星主属性强化+10增量	60	60	245	245	0	0	4	4	245	245	0	0	3	3	245	245	0	0	2	2	0	0	0	0	245	245	333	333	245	245	245	245
512	5星主属性强化+11增量	75	75	245	245	0	0	5	5	245	245	0	0	4	4	245	245	0	0	2	2	0	0	0	0	245	245	333	333	245	245	245	245
513	5星主属性强化+12增量	60	60	245	245	0	0	4	4	245	245	0	0	3	3	245	245	0	0	2	2	0	0	0	0	245	245	333	333	245	245	245	245
514	5星主属性强化+13增量	75	75	245	245	0	0	5	5	245	245	0	0	4	4	245	245	0	0	2	2	0	0	0	0	245	245	333	333	245	245	245	245
515	5星主属性强化+14增量	60	60	245	245	0	0	4	4	245	245	0	0	3	3	245	245	0	0	2	2	0	0	0	0	245	245	333	333	245	245	245	245
516	5星主属性强化+15增量	210	210	784	784	0	0	14	14	784	784	0	0	10	10	784	784	0	0	6	6	0	0	0	0	784	784	1066	1066	784	784	784	784
601	6星主属性出生	240	240	1100	1100	0	0	16	16	1100	1100	0	0	12	12	1100	1100	0	0	7	7	0	0	0	0	600	600	1100	1100	1100	1100	1100	1100
602	6星主属性强化+1增量	90	90	300	300	0	0	6	6	300	300	0	0	5	5	300	300	0	0	2	2	0	0	0	0	300	300	400	400	300	300	300	300
603	6星主属性强化+2增量	90	90	300	300	0	0	6	6	300	300	0	0	4	4	300	300	0	0	2	2	0	0	0	0	300	300	400	400	300	300	300	300
604	6星主属性强化+3增量	90	90	300	300	0	0	6	6	300	300	0	0	5	5	300	300	0	0	2	2	0	0	0	0	300	300	400	400	300	300	300	300
605	6星主属性强化+4增量	90	90	300	300	0	0	6	6	300	300	0	0	4	4	300	300	0	0	2	2	0	0	0	0	300	300	400	400	300	300	300	300
606	6星主属性强化+5增量	90	90	300	300	0	0	6	6	300	300	0	0	5	5	300	300	0	0	2	2	0	0	0	0	300	300	400	400	300	300	300	300
607	6星主属性强化+6增量	90	90	300	300	0	0	6	6	300	300	0	0	4	4	300	300	0	0	2	2	0	0	0	0	300	300	400	400	300	300	300	300
608	6星主属性强化+7增量	90	90	300	300	0	0	6	6	300	300	0	0	5	5	300	300	0	0	2	2	0	0	0	0	300	300	400	400	300	300	300	300
609	6星主属性强化+8增量	90	90	300	300	0	0	6	6	300	300	0	0	4	4	300	300	0	0	2	2	0	0	0	0	300	300	400	400	300	300	300	300
610	6星主属性强化+9增量	90	90	300	300	0	0	6	6	300	300	0	0	5	5	300	300	0	0	2	2	0	0	0	0	300	300	400	400	300	300	300	300
611	6星主属性强化+10增量	90	90	300	300	0	0	6	6	300	300	0	0	4	4	300	300	0	0	2	2	0	0	0	0	300	300	400	400	300	300	300	300
612	6星主属性强化+11增量	90	90	300	300	0	0	6	6	300	300	0	0	5	5	300	300	0	0	2	2	0	0	0	0	300	300	400	400	300	300	300	300
613	6星主属性强化+12增量	90	90	300	300	0	0	6	6	300	300	0	0	4	4	300	300	0	0	2	2	0	0	0	0	300	300	400	400	300	300	300	300
614	6星主属性强化+13增量	90	90	300	300	0	0	6	6	300	300	0	0	5	5	300	300	0	0	2	2	0	0	0	0	300	300	400	400	300	300	300	300
615	6星主属性强化+14增量	90	90	300	300	0	0	6	6	300	300	0	0	4	4	300	300	0	0	2	2	0	0	0	0	300	300	400	400	300	300	300	300
616	6星主属性强化+15增量	270	270	960	960	0	0	18	18	960	960	0	0	14	14	960	960	0	0	6	6	0	0	0	0	960	960	1280	1280	960	960	960	960
